$$PriceAdjustmentSchedule.Name$Product2.StockKeepingUnit$ProductSellingModel.Name$ProductSellingModel.SellingModelType$TierType$TierValue$LowerBound$CurrencyIsoCode$EffectiveFrom,AdjustmentType,CurrencyIsoCode,EffectiveFrom,EffectiveTo,LowerBound,PriceAdjustmentSchedule.$$Name$CurrencyIsoCode,PricingTerm,PricingTermUnit,Product2.StockKeepingUnit,ProductSellingModel.$$Name$SellingModelType,ScheduleType,SellingModelType,TierType,TierValue,UpperBound
Standard Price Adjustment Tier;BAMBOO-CORE;Term Monthly;TermDefined;AdjustmentPercentage;25;501;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,501,Standard Price Adjustment Tier;CAD,1,Months,BAMBOO-CORE,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Price Adjustment Tier;BAMBOO-CORE;Term Annual;TermDefined;AdjustmentPercentage;5;25;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,25,Standard Price Adjustment Tier;CAD,1,Annual,BAMBOO-CORE,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,5,75
Standard Price Adjustment Tier;BAMBOO-CORE;Term Annual;TermDefined;AdjustmentPercentage;10;76;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,76,Standard Price Adjustment Tier;CAD,1,Annual,BAMBOO-CORE,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,10,150
Standard Price Adjustment Tier;BAMBOO-CORE;Term Annual;TermDefined;AdjustmentPercentage;15;151;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,151,Standard Price Adjustment Tier;CAD,1,Annual,BAMBOO-CORE,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,300
Standard Price Adjustment Tier;BAMBOO-CORE;Term Annual;TermDefined;AdjustmentPercentage;20;301;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,301,Standard Price Adjustment Tier;CAD,1,Annual,BAMBOO-CORE,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,20,500
Standard Price Adjustment Tier;BAMBOO-CORE;Term Annual;TermDefined;AdjustmentPercentage;25;501;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,501,Standard Price Adjustment Tier;CAD,1,Annual,BAMBOO-CORE,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Price Adjustment Tier;BAMBOO-PRO;Term Monthly;TermDefined;AdjustmentPercentage;5;25;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,25,Standard Price Adjustment Tier;CAD,1,Months,BAMBOO-PRO,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentPercentage,5,75
Standard Price Adjustment Tier;BAMBOO-PRO;Term Monthly;TermDefined;AdjustmentPercentage;10;76;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,76,Standard Price Adjustment Tier;CAD,1,Months,BAMBOO-PRO,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentPercentage,10,150
Standard Price Adjustment Tier;BAMBOO-PRO;Term Monthly;TermDefined;AdjustmentPercentage;15;151;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,151,Standard Price Adjustment Tier;CAD,1,Months,BAMBOO-PRO,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,300
Standard Price Adjustment Tier;BAMBOO-PRO;Term Monthly;TermDefined;AdjustmentPercentage;20;301;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,301,Standard Price Adjustment Tier;CAD,1,Months,BAMBOO-PRO,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentPercentage,20,500
Standard Price Adjustment Tier;BAMBOO-PRO;Term Monthly;TermDefined;AdjustmentPercentage;25;501;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,501,Standard Price Adjustment Tier;CAD,1,Months,BAMBOO-PRO,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Price Adjustment Tier;BAMBOO-PRO;Term Annual;TermDefined;AdjustmentPercentage;5;25;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,25,Standard Price Adjustment Tier;CAD,1,Annual,BAMBOO-PRO,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,5,75
Standard Price Adjustment Tier;BAMBOO-PRO;Term Annual;TermDefined;AdjustmentPercentage;10;76;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,76,Standard Price Adjustment Tier;CAD,1,Annual,BAMBOO-PRO,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,10,150
Standard Price Adjustment Tier;BAMBOO-PRO;Term Annual;TermDefined;AdjustmentPercentage;15;151;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,151,Standard Price Adjustment Tier;CAD,1,Annual,BAMBOO-PRO,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,300
Standard Price Adjustment Tier;BAMBOO-PRO;Term Annual;TermDefined;AdjustmentPercentage;20;301;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,301,Standard Price Adjustment Tier;CAD,1,Annual,BAMBOO-PRO,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,20,500
Standard Price Adjustment Tier;BAMBOO-PRO;Term Annual;TermDefined;AdjustmentPercentage;25;501;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,501,Standard Price Adjustment Tier;CAD,1,Annual,BAMBOO-PRO,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Price Adjustment Tier;BAMBOO-ELITE;Term Monthly;TermDefined;AdjustmentPercentage;5;25;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,25,Standard Price Adjustment Tier;CAD,1,Months,BAMBOO-ELITE,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentPercentage,5,75
Standard Price Adjustment Tier;BAMBOO-ELITE;Term Monthly;TermDefined;AdjustmentPercentage;10;76;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,76,Standard Price Adjustment Tier;CAD,1,Months,BAMBOO-ELITE,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentPercentage,10,150
Standard Price Adjustment Tier;BAMBOO-ELITE;Term Monthly;TermDefined;AdjustmentPercentage;15;151;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,151,Standard Price Adjustment Tier;CAD,1,Months,BAMBOO-ELITE,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,300
Standard Price Adjustment Tier;BAMBOO-ELITE;Term Monthly;TermDefined;AdjustmentPercentage;20;301;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,301,Standard Price Adjustment Tier;CAD,1,Months,BAMBOO-ELITE,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentPercentage,20,500
Standard Price Adjustment Tier;BAMBOO-ELITE;Term Monthly;TermDefined;AdjustmentPercentage;25;501;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,501,Standard Price Adjustment Tier;CAD,1,Months,BAMBOO-ELITE,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Price Adjustment Tier;BAMBOO-ELITE;Term Annual;TermDefined;AdjustmentPercentage;5;25;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,25,Standard Price Adjustment Tier;CAD,1,Annual,BAMBOO-ELITE,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,5,75
Standard Price Adjustment Tier;BAMBOO-ELITE;Term Annual;TermDefined;AdjustmentPercentage;10;76;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,76,Standard Price Adjustment Tier;CAD,1,Annual,BAMBOO-ELITE,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,10,150
Standard Price Adjustment Tier;BAMBOO-ELITE;Term Annual;TermDefined;AdjustmentPercentage;15;151;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,151,Standard Price Adjustment Tier;CAD,1,Annual,BAMBOO-ELITE,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,300
Standard Price Adjustment Tier;BAMBOO-ELITE;Term Annual;TermDefined;AdjustmentPercentage;20;301;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,301,Standard Price Adjustment Tier;CAD,1,Annual,BAMBOO-ELITE,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,20,500
Standard Price Adjustment Tier;BAMBOO-ELITE;Term Annual;TermDefined;AdjustmentPercentage;25;501;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,501,Standard Price Adjustment Tier;CAD,1,Annual,BAMBOO-ELITE,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Price Adjustment Tier;BAMBOO-ADD-PAYROLL;Term Monthly;TermDefined;AdjustmentPercentage;5;25;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,25,Standard Price Adjustment Tier;CAD,1,Months,BAMBOO-ADD-PAYROLL,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentPercentage,5,75
Standard Price Adjustment Tier;BAMBOO-ADD-PAYROLL;Term Monthly;TermDefined;AdjustmentPercentage;10;76;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,76,Standard Price Adjustment Tier;CAD,1,Months,BAMBOO-ADD-PAYROLL,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentPercentage,10,150
Standard Price Adjustment Tier;BAMBOO-ADD-PAYROLL;Term Monthly;TermDefined;AdjustmentPercentage;15;151;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,151,Standard Price Adjustment Tier;CAD,1,Months,BAMBOO-ADD-PAYROLL,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,300
Standard Price Adjustment Tier;BAMBOO-ADD-PAYROLL;Term Monthly;TermDefined;AdjustmentPercentage;20;301;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,301,Standard Price Adjustment Tier;CAD,1,Months,BAMBOO-ADD-PAYROLL,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentPercentage,20,500
Standard Price Adjustment Tier;BAMBOO-ADD-PAYROLL;Term Monthly;TermDefined;AdjustmentPercentage;25;501;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,501,Standard Price Adjustment Tier;CAD,1,Months,BAMBOO-ADD-PAYROLL,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Price Adjustment Tier;BAMBOO-ADD-PAYROLL;Term Annual;TermDefined;AdjustmentPercentage;5;25;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,25,Standard Price Adjustment Tier;CAD,1,Annual,BAMBOO-ADD-PAYROLL,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,5,75
Standard Price Adjustment Tier;BAMBOO-ADD-PAYROLL;Term Annual;TermDefined;AdjustmentPercentage;10;76;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,76,Standard Price Adjustment Tier;CAD,1,Annual,BAMBOO-ADD-PAYROLL,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,10,150
Standard Price Adjustment Tier;BAMBOO-ADD-PAYROLL;Term Annual;TermDefined;AdjustmentPercentage;15;151;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,151,Standard Price Adjustment Tier;CAD,1,Annual,BAMBOO-ADD-PAYROLL,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,300
Standard Price Adjustment Tier;BAMBOO-ADD-PAYROLL;Term Annual;TermDefined;AdjustmentPercentage;20;301;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,301,Standard Price Adjustment Tier;CAD,1,Annual,BAMBOO-ADD-PAYROLL,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,20,500
Standard Price Adjustment Tier;BAMBOO-ADD-PAYROLL;Term Annual;TermDefined;AdjustmentPercentage;25;501;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,501,Standard Price Adjustment Tier;CAD,1,Annual,BAMBOO-ADD-PAYROLL,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Price Adjustment Tier;BAMBOO-ADD-BENEFITS;Term Monthly;TermDefined;AdjustmentPercentage;5;25;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,25,Standard Price Adjustment Tier;CAD,1,Months,BAMBOO-ADD-BENEFITS,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentPercentage,5,75
Standard Price Adjustment Tier;BAMBOO-ADD-BENEFITS;Term Monthly;TermDefined;AdjustmentPercentage;10;76;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,76,Standard Price Adjustment Tier;CAD,1,Months,BAMBOO-ADD-BENEFITS,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentPercentage,10,150
Standard Price Adjustment Tier;BAMBOO-ADD-BENEFITS;Term Monthly;TermDefined;AdjustmentPercentage;15;151;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,151,Standard Price Adjustment Tier;CAD,1,Months,BAMBOO-ADD-BENEFITS,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,300
Standard Price Adjustment Tier;BAMBOO-ADD-BENEFITS;Term Monthly;TermDefined;AdjustmentPercentage;20;301;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,301,Standard Price Adjustment Tier;CAD,1,Months,BAMBOO-ADD-BENEFITS,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentPercentage,20,500
Standard Price Adjustment Tier;BAMBOO-ADD-BENEFITS;Term Monthly;TermDefined;AdjustmentPercentage;25;501;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,501,Standard Price Adjustment Tier;CAD,1,Months,BAMBOO-ADD-BENEFITS,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Price Adjustment Tier;BAMBOO-ADD-BENEFITS;Term Annual;TermDefined;AdjustmentPercentage;5;25;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,25,Standard Price Adjustment Tier;CAD,1,Annual,BAMBOO-ADD-BENEFITS,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,5,75
Standard Price Adjustment Tier;BAMBOO-ADD-BENEFITS;Term Annual;TermDefined;AdjustmentPercentage;10;76;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,76,Standard Price Adjustment Tier;CAD,1,Annual,BAMBOO-ADD-BENEFITS,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,10,150
Standard Price Adjustment Tier;BAMBOO-ADD-BENEFITS;Term Annual;TermDefined;AdjustmentPercentage;15;151;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,151,Standard Price Adjustment Tier;CAD,1,Annual,BAMBOO-ADD-BENEFITS,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,300
Standard Price Adjustment Tier;BAMBOO-ADD-BENEFITS;Term Annual;TermDefined;AdjustmentPercentage;20;301;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,301,Standard Price Adjustment Tier;CAD,1,Annual,BAMBOO-ADD-BENEFITS,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,20,500
Standard Price Adjustment Tier;BAMBOO-ADD-BENEFITS;Term Annual;TermDefined;AdjustmentPercentage;25;501;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,501,Standard Price Adjustment Tier;CAD,1,Annual,BAMBOO-ADD-BENEFITS,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Price Adjustment Tier;BAMBOO-ADD-TIME;Term Monthly;TermDefined;AdjustmentPercentage;5;25;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,25,Standard Price Adjustment Tier;CAD,1,Months,BAMBOO-ADD-TIME,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentPercentage,5,75
Standard Price Adjustment Tier;BAMBOO-ADD-TIME;Term Monthly;TermDefined;AdjustmentPercentage;10;76;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,76,Standard Price Adjustment Tier;CAD,1,Months,BAMBOO-ADD-TIME,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentPercentage,10,150
Standard Price Adjustment Tier;BAMBOO-ADD-TIME;Term Monthly;TermDefined;AdjustmentPercentage;15;151;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,151,Standard Price Adjustment Tier;CAD,1,Months,BAMBOO-ADD-TIME,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,300
Standard Price Adjustment Tier;BAMBOO-ADD-TIME;Term Monthly;TermDefined;AdjustmentPercentage;20;301;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,301,Standard Price Adjustment Tier;CAD,1,Months,BAMBOO-ADD-TIME,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentPercentage,20,500
Standard Price Adjustment Tier;BAMBOO-ADD-TIME;Term Monthly;TermDefined;AdjustmentPercentage;25;501;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,501,Standard Price Adjustment Tier;CAD,1,Months,BAMBOO-ADD-TIME,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Price Adjustment Tier;BAMBOO-ADD-TIME;Term Annual;TermDefined;AdjustmentPercentage;5;25;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,25,Standard Price Adjustment Tier;CAD,1,Annual,BAMBOO-ADD-TIME,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,5,75
Standard Price Adjustment Tier;BAMBOO-ADD-TIME;Term Annual;TermDefined;AdjustmentPercentage;10;76;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,76,Standard Price Adjustment Tier;CAD,1,Annual,BAMBOO-ADD-TIME,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,10,150
Standard Price Adjustment Tier;BAMBOO-ADD-TIME;Term Annual;TermDefined;AdjustmentPercentage;15;151;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,151,Standard Price Adjustment Tier;CAD,1,Annual,BAMBOO-ADD-TIME,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,300
Standard Price Adjustment Tier;BAMBOO-ADD-TIME;Term Annual;TermDefined;AdjustmentPercentage;20;301;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,301,Standard Price Adjustment Tier;CAD,1,Annual,BAMBOO-ADD-TIME,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,20,500
Standard Price Adjustment Tier;BAMBOO-ADD-TIME;Term Annual;TermDefined;AdjustmentPercentage;25;501;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,501,Standard Price Adjustment Tier;CAD,1,Annual,BAMBOO-ADD-TIME,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Price Adjustment Tier;BAMBOO-ADD-GLOBAL;Term Monthly;TermDefined;AdjustmentPercentage;5;25;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,25,Standard Price Adjustment Tier;CAD,1,Months,BAMBOO-ADD-GLOBAL,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentPercentage,5,75
Standard Price Adjustment Tier;BAMBOO-ADD-GLOBAL;Term Monthly;TermDefined;AdjustmentPercentage;10;76;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,76,Standard Price Adjustment Tier;CAD,1,Months,BAMBOO-ADD-GLOBAL,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentPercentage,10,150
Standard Price Adjustment Tier;BAMBOO-ADD-GLOBAL;Term Monthly;TermDefined;AdjustmentPercentage;15;151;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,151,Standard Price Adjustment Tier;CAD,1,Months,BAMBOO-ADD-GLOBAL,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,300
Standard Price Adjustment Tier;BAMBOO-ADD-GLOBAL;Term Monthly;TermDefined;AdjustmentPercentage;20;301;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,301,Standard Price Adjustment Tier;CAD,1,Months,BAMBOO-ADD-GLOBAL,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentPercentage,20,500
Standard Price Adjustment Tier;BAMBOO-ADD-GLOBAL;Term Monthly;TermDefined;AdjustmentPercentage;25;501;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,501,Standard Price Adjustment Tier;CAD,1,Months,BAMBOO-ADD-GLOBAL,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Price Adjustment Tier;BAMBOO-ADD-GLOBAL;Term Annual;TermDefined;AdjustmentPercentage;5;25;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,25,Standard Price Adjustment Tier;CAD,1,Annual,BAMBOO-ADD-GLOBAL,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,5,75
Standard Price Adjustment Tier;BAMBOO-ADD-GLOBAL;Term Annual;TermDefined;AdjustmentPercentage;10;76;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,76,Standard Price Adjustment Tier;CAD,1,Annual,BAMBOO-ADD-GLOBAL,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,10,150
Standard Price Adjustment Tier;BAMBOO-ADD-GLOBAL;Term Annual;TermDefined;AdjustmentPercentage;15;151;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,151,Standard Price Adjustment Tier;CAD,1,Annual,BAMBOO-ADD-GLOBAL,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,300
Standard Price Adjustment Tier;BAMBOO-ADD-GLOBAL;Term Annual;TermDefined;AdjustmentPercentage;20;301;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,301,Standard Price Adjustment Tier;CAD,1,Annual,BAMBOO-ADD-GLOBAL,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,20,500
Standard Price Adjustment Tier;BAMBOO-ADD-GLOBAL;Term Annual;TermDefined;AdjustmentPercentage;25;501;CAD;2023-01-01T00:00:00.000+0000,Percentage,CAD,2023-01-01T00:00:00.000+0000,,501,Standard Price Adjustment Tier;CAD,1,Annual,BAMBOO-ADD-GLOBAL,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Price Adjustment Tier;BAMBOO-CORE;Term Monthly;TermDefined;AdjustmentPercentage;5;25;GBP;2023-01-01T00:00:00.000+0000,Percentage,GBP,2023-01-01T00:00:00.000+0000,,25,Standard Price Adjustment Tier;GBP,1,Months,BAMBOO-CORE,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentPercentage,5,75
Standard Price Adjustment Tier;BAMBOO-CORE;Term Monthly;TermDefined;AdjustmentPercentage;10;76;GBP;2023-01-01T00:00:00.000+0000,Percentage,GBP,2023-01-01T00:00:00.000+0000,,76,Standard Price Adjustment Tier;GBP,1,Months,BAMBOO-CORE,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentPercentage,10,150
Standard Price Adjustment Tier;BAMBOO-CORE;Term Monthly;TermDefined;AdjustmentPercentage;15;151;GBP;2023-01-01T00:00:00.000+0000,Percentage,GBP,2023-01-01T00:00:00.000+0000,,151,Standard Price Adjustment Tier;GBP,1,Months,BAMBOO-CORE,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,300
Standard Price Adjustment Tier;BAMBOO-CORE;Term Monthly;TermDefined;AdjustmentPercentage;20;301;GBP;2023-01-01T00:00:00.000+0000,Percentage,GBP,2023-01-01T00:00:00.000+0000,,301,Standard Price Adjustment Tier;GBP,1,Months,BAMBOO-CORE,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentPercentage,20,500
Standard Price Adjustment Tier;BAMBOO-CORE;Term Monthly;TermDefined;AdjustmentPercentage;25;501;GBP;2023-01-01T00:00:00.000+0000,Percentage,GBP,2023-01-01T00:00:00.000+0000,,501,Standard Price Adjustment Tier;GBP,1,Months,BAMBOO-CORE,Term Monthly;TermDefined,Volume,TermDefined,AdjustmentPercentage,25,
Standard Price Adjustment Tier;BAMBOO-CORE;Term Annual;TermDefined;AdjustmentPercentage;5;25;GBP;2023-01-01T00:00:00.000+0000,Percentage,GBP,2023-01-01T00:00:00.000+0000,,25,Standard Price Adjustment Tier;GBP,1,Annual,BAMBOO-CORE,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,5,75
Standard Price Adjustment Tier;BAMBOO-CORE;Term Annual;TermDefined;AdjustmentPercentage;10;76;GBP;2023-01-01T00:00:00.000+0000,Percentage,GBP,2023-01-01T00:00:00.000+0000,,76,Standard Price Adjustment Tier;GBP,1,Annual,BAMBOO-CORE,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,10,150
Standard Price Adjustment Tier;BAMBOO-CORE;Term Annual;TermDefined;AdjustmentPercentage;15;151;GBP;2023-01-01T00:00:00.000+0000,Percentage,GBP,2023-01-01T00:00:00.000+0000,,151,Standard Price Adjustment Tier;GBP,1,Annual,BAMBOO-CORE,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,15,300
Standard Price Adjustment Tier;BAMBOO-CORE;Term Annual;TermDefined;AdjustmentPercentage;20;301;GBP;2023-01-01T00:00:00.000+0000,Percentage,GBP,2023-01-01T00:00:00.000+0000,,301,Standard Price Adjustment Tier;GBP,1,Annual,BAMBOO-CORE,Term Annual;TermDefined,Volume,TermDefined,AdjustmentPercentage,20,500
