$$ChildProductClassification.Code$ChildProduct.StockKeepingUnit$ParentProduct.StockKeepingUnit$ProductComponentGroup.Code$ProductRelationshipType.Name,ChildProduct.StockKeepingUnit,ChildProductClassification.Code,ChildProductRole,ChildSellingModel.$$Name$SellingModelType,DoesBundlePriceIncludeChild,IsComponentRequired,IsDefaultComponent,IsQuantityEditable,MaxQuantity,MinQuantity,ParentProduct.StockKeepingUnit,ParentProductRole,ParentSellingModel.$$Name$SellingModelType,ProductComponentGroup.Code,ProductRelationshipType.Name,Quantity,QuantityScaleMethod,QuoteVisibility,Sequence,UnitOfMeasure.UnitCode
;KLD-AI-PII-REDACT;KLD-PATH-R1-R1;KLD-CG-R1R1-AI;Bundle to Bundle Component Relationship,KLD-AI-PII-REDACT,,BundleComponent,,false,false,false,true,,,KLD-PATH-R1-R1,Bundle,,KLD-CG-R1R1-AI,Bundle to Bundle Component Relationship,1,,Always,220,
;KLD-AN-ANALYTICS;KLD-PATH-R1-R1;KLD-CG-R1R1-AI;Bundle to Bundle Component Relationship,KLD-AN-ANALYTICS,,BundleComponent,,false,false,false,true,,,KLD-PATH-R1-R1,Bundle,,KLD-CG-R1R1-AI,Bundle to Bundle Component Relationship,1,,Always,230,
;KLD-AN-SUM;KLD-PATH-R1-R1;KLD-CG-R1R1-AI;Bundle to Bundle Component Relationship,KLD-AN-SUM,,BundleComponent,,false,false,false,true,,,KLD-PATH-R1-R1,Bundle,,KLD-CG-R1R1-AI,Bundle to Bundle Component Relationship,1,,Always,240,
;KLD-AN-SUM-MED;KLD-PATH-R1-R1;KLD-CG-R1R1-AI;Bundle to Bundle Component Relationship,KLD-AN-SUM-MED,,BundleComponent,,false,false,false,true,,,KLD-PATH-R1-R1,Bundle,,KLD-CG-R1R1-AI,Bundle to Bundle Component Relationship,1,,Always,250,
;KLD-AN-XLAT;KLD-PATH-R1-R1;KLD-CG-R1R1-AI;Bundle to Bundle Component Relationship,KLD-AN-XLAT,,BundleComponent,,false,false,false,true,,,KLD-PATH-R1-R1,Bundle,,KLD-CG-R1R1-AI,Bundle to Bundle Component Relationship,1,,Always,260,
;KLD-AN-TRANSCRIBE;KLD-PATH-R1-R1;KLD-CG-R1R1-AI;Bundle to Bundle Component Relationship,KLD-AN-TRANSCRIBE,,BundleComponent,,false,false,false,true,,,KLD-PATH-R1-R1,Bundle,,KLD-CG-R1R1-AI,Bundle to Bundle Component Relationship,1,,Always,270,
;KLD-PS-PM;KLD-PATH-R1-R1;KLD-CG-R1R1-PS;Bundle to Bundle Component Relationship,KLD-PS-PM,,BundleComponent,,false,false,false,true,,,KLD-PATH-R1-R1,Bundle,,KLD-CG-R1R1-PS,Bundle to Bundle Component Relationship,11,,Always,280,
;KLD-PS-TECH;KLD-PATH-R1-R1;KLD-CG-R1R1-PS;Bundle to Bundle Component Relationship,KLD-PS-TECH,,BundleComponent,,false,false,false,true,,,KLD-PATH-R1-R1,Bundle,,KLD-CG-R1R1-PS,Bundle to Bundle Component Relationship,7,,Always,290,
;KLD-MED-HDD;KLD-PATH-R1-R1;KLD-CG-R1R1-MEDIA;Bundle to Bundle Component Relationship,KLD-MED-HDD,,BundleComponent,,false,false,false,true,,,KLD-PATH-R1-R1,Bundle,,KLD-CG-R1R1-MEDIA,Bundle to Bundle Component Relationship,1,,Always,300,
;KLD-MED-FREIGHT;KLD-PATH-R1-R1;KLD-CG-R1R1-MEDIA;Bundle to Bundle Component Relationship,KLD-MED-FREIGHT,,BundleComponent,,false,false,false,true,,,KLD-PATH-R1-R1,Bundle,,KLD-CG-R1R1-MEDIA,Bundle to Bundle Component Relationship,1,,Always,310,
